model_name,symbol,event_minute,market_price,target,pred
gradient_boosted_trees,AAPL,2024-05-23 16:09:00,189.41,0,1
gradient_boosted_trees,AAPL,2024-05-23 16:10:00,189.4,0,1
gradient_boosted_trees,AAPL,2024-05-23 16:13:00,189.37,1,0
gradient_boosted_trees,AAPL,2024-05-23 16:14:00,189.43,1,0
gradient_boosted_trees,AAPL,2024-05-23 16:16:00,189.48,1,0
gradient_boosted_trees,AAPL,2024-05-23 16:17:00,189.49,1,0
gradient_boosted_trees,AAPL,2024-05-23 16:18:00,189.51,1,0
gradient_boosted_trees,AAPL,2024-05-23 16:21:00,189.47,1,0
gradient_boosted_trees,AAPL,2024-05-23 16:22:00,189.48,1,0
gradient_boosted_trees,AAPL,2024-05-23 16:27:00,189.475,1,0
gradient_boosted_trees,AAPL,2024-05-23 16:28:00,189.485,1,0
gradient_boosted_trees,AAPL,2024-05-23 16:34:00,189.45,1,0
gradient_boosted_trees,AAPL,2024-05-23 16:35:00,189.47,1,0
gradient_boosted_trees,AAPL,2024-05-23 16:39:00,189.48,0,1
gradient_boosted_trees,AAPL,2024-05-23 16:41:00,189.33,0,1
gradient_boosted_trees,AAPL,2024-05-23 16:48:00,188.89,1,0
gradient_boosted_trees,AAPL,2024-05-23 16:50:00,188.93,0,1
gradient_boosted_trees,AAPL,2024-05-23 16:52:00,188.94,0,1
gradient_boosted_trees,AAPL,2024-05-23 16:55:00,188.96,0,1
gradient_boosted_trees,AAPL,2024-05-23 16:56:00,188.92,0,1
gradient_boosted_trees,AAPL,2024-05-23 16:57:00,188.835,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:00:00,188.76,1,0
gradient_boosted_trees,AAPL,2024-05-23 17:03:00,188.71,1,0
gradient_boosted_trees,AAPL,2024-05-23 17:07:00,188.7,1,0
gradient_boosted_trees,AAPL,2024-05-23 17:09:00,188.64,1,0
gradient_boosted_trees,AAPL,2024-05-23 17:10:00,188.67,1,0
gradient_boosted_trees,AAPL,2024-05-23 17:11:00,188.78,1,0
gradient_boosted_trees,AAPL,2024-05-23 17:12:00,188.855,1,0
gradient_boosted_trees,AAPL,2024-05-23 17:13:00,188.89,1,0
gradient_boosted_trees,AAPL,2024-05-23 17:16:00,188.83,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:18:00,188.795,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:19:00,188.65,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:21:00,188.62,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:22:00,188.585,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:24:00,188.675,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:29:00,188.65,1,0
gradient_boosted_trees,AAPL,2024-05-23 17:33:00,188.49,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:34:00,188.46,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:38:00,188.19,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:40:00,188.32,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:42:00,188.06,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:44:00,187.9,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:46:00,187.91,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:48:00,187.84,1,0
gradient_boosted_trees,AAPL,2024-05-23 17:49:00,187.88,1,0
gradient_boosted_trees,AAPL,2024-05-23 17:50:00,187.89,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:55:00,187.71,0,1
gradient_boosted_trees,AAPL,2024-05-23 17:59:00,187.59,0,1
gradient_boosted_trees,AAPL,2024-05-23 18:00:00,187.575,1,0
gradient_boosted_trees,AAPL,2024-05-23 18:02:00,187.5,1,0
gradient_boosted_trees,AAPL,2024-05-23 18:03:00,187.53,0,1
gradient_boosted_trees,AAPL,2024-05-23 18:04:00,187.41,1,0
gradient_boosted_trees,AAPL,2024-05-23 18:05:00,187.46,0,1
gradient_boosted_trees,AAPL,2024-05-23 18:10:00,187.59,0,1
gradient_boosted_trees,AAPL,2024-05-23 18:12:00,187.61,1,0
gradient_boosted_trees,AAPL,2024-05-23 18:13:00,187.72,0,1
gradient_boosted_trees,AAPL,2024-05-23 18:14:00,187.68,1,0
