n,tp,tn,fp,fn,accuracy,precision_up,recall_up,f1_up,precision_down,recall_down,f1_down,weighted_f1,predicted_up_rate,model_name,threshold
7104,3001,496,3292,315,0.49225788288288286,0.47687907198474494,0.9050060313630881,0.6246227495056718,0.6115906288532675,0.13093980992608237,0.21569906501413352,0.4065761677413211,0.885838963963964,gradient_boosted_trees,0.35
7104,2944,589,3199,372,0.49732545045045046,0.4792446687286342,0.887816646562123,0.6224759488318004,0.6129032258064516,0.1554910242872228,0.24805222152032005,0.4228254590998342,0.8647240990990991,gradient_boosted_trees,0.36
7104,2893,687,3101,423,0.5039414414414415,0.4826493159826493,0.8724366706875754,0.6214822771213748,0.6189189189189189,0.18136219640971488,0.2805226623111474,0.4396755455756061,0.84375,gradient_boosted_trees,0.37
7104,2820,783,3005,496,0.5071790540540541,0.48412017167381977,0.850422195416164,0.617000328191664,0.6121970289288506,0.2067053854276663,0.30905861456483125,0.45279942571159043,0.8199605855855856,gradient_boosted_trees,0.38
7104,2742,882,2906,574,0.5101351351351351,0.4854815864022663,0.8268998793727382,0.6117804551539491,0.6057692307692307,0.2328405491024287,0.3363844393592677,0.46493359312829413,0.795045045045045,gradient_boosted_trees,0.39
7104,2675,964,2824,641,0.5122466216216216,0.48645208219676306,0.8066948130277443,0.606920022688599,0.6006230529595016,0.25448785638859556,0.3575004635638791,0.4739243456102714,0.7740709459459459,gradient_boosted_trees,0.4
7104,2616,1062,2726,700,0.5177364864864865,0.489704230625234,0.7889022919179735,0.6042966042966043,0.6027241770715096,0.2803590285110876,0.3827027027027027,0.48613814438138764,0.7519707207207207,gradient_boosted_trees,0.41
7104,2527,1158,2630,789,0.5187218468468469,0.4900135737832073,0.7620627261761158,0.596482945827924,0.5947611710323575,0.3057022175290391,0.4038360941586748,0.49375965273626915,0.7259290540540541,gradient_boosted_trees,0.42
7104,2418,1264,2524,898,0.5182995495495496,0.48927559692432215,0.7291917973462002,0.5856139501089852,0.5846438482886216,0.33368532206969376,0.4248739495798319,0.49990405117818104,0.6956644144144144,gradient_boosted_trees,0.43
7104,2333,1374,2414,983,0.5218186936936937,0.4914682957657468,0.7035585042219542,0.5786927942453182,0.5829444208739923,0.36272439281942975,0.44719283970707885,0.5085742937116963,0.6682150900900901,gradient_boosted_trees,0.44
